timestamp,type,country,outside,salary,currency,domain,experience,studies,gender,happy,remote
11/03/2023 3:31:06,Consultora,España,,26000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:05:47,Consultora,España,,32000,EUR,Full Stack,Senior (+5 años),Autodidacta,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:06:00,Start Up,España,,15000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,1,"Sí, 100% remoto"
9/03/2023 18:23:25,Empresa de producto,España,,73000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
11/03/2023 5:52:20,Start Up,España,,19000,EUR,Front End,Trainee (0-1 años),Bootcamp,Hombre,4,Tengo que ir a la oficina de forma regular
9/03/2023 18:06:49,Consultora,España,Inetum,30500,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:07:13,Consultora,España,,50000,EUR,Full Stack en SAP (JS + CSS + HTML + ABAP),Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:07:53,Consultora,España,,33000,EUR,Full Stack,Junior (1-4 años),Bootcamp,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:08:08,Empresa de producto,España,EEUU,52000,USD,Seguridad,Junior (1-4 años),Formación reglada o universitaria,Hombre,5,"Sí, 100% remoto"
9/03/2023 18:08:13,Consultora,España,,14000,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Mujer,2,"Sí, 100% remoto"
9/03/2023 18:08:18,Consultora,España,,50000,EUR,Tech Lead,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:08:23,Empresa de producto,España,,27000,EUR,Back End,Trainee (0-1 años),Formación reglada o universitaria,Hombre,3,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:08:29,Consultora,España,,45000,EUR,Front End,Senior (+5 años),Autodidacta,Hombre,4,"Sí, 100% remoto"
10/03/2023 21:16:14,Consultora,España,,23000,EUR,Otros (Api Developer),Junior (1-4 años),Formación reglada o universitaria,Hombre,1,"Sí, 100% remoto"
9/03/2023 18:08:46,Consultora,España,,21500,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,1,"Sí, 100% remoto"
9/03/2023 18:09:34,Practicas,España,,4000,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 19:10:06,Empresa de producto,España,,27000,EUR,Full Stack,Senior (+5 años),Autodidacta,Hombre,3,"Sí, 100% remoto"
10/03/2023 15:07:53,Consultora,España,,20000,EUR,Back End,Trainee (0-1 años),Formación reglada o universitaria,Hombre,2,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
10/03/2023 15:28:49,Consultora,España,,15000,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
10/03/2023 14:34:48,Start Up,España,,27000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 19:10:24,Consultora,España,Alemania,28000,EUR,Full Stack,Trainee (0-1 años),Autodidacta,Hombre,2,Tengo que ir a la oficina de forma regular
9/03/2023 18:12:01,Consultora,España,,45000,EUR,Back End,Senior (+5 años),Autodidacta,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:12:52,Empresa de producto,España,,43000,EUR,Front End,Junior (1-4 años),Autodidacta,Mujer,5,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:12:55,Empresa de producto,España,,20000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
10/03/2023 13:35:48,Consultora,España,,20000,EUR,Back End,Trainee (0-1 años),Formación reglada o universitaria,Hombre,2,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
10/03/2023 9:21:29,Consultora,España,,30000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
10/03/2023 20:41:56,Empresa de producto,España,,19500,EUR,Front End,Junior (1-4 años),Bootcamp,Mujer,3,Tengo que ir a la oficina de forma regular
9/03/2023 18:13:27,Empresa de producto,España,,30000,EUR,Front End,Junior (1-4 años),Autodidacta,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:14:33,Start Up,España,Reino Unido,20000,EUR,Front End,Junior (1-4 años),Autodidacta,Hombre,3,"Sí, 100% remoto"
10/03/2023 18:26:15,Consultora,España,,34000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:16:12,Consultora,España,Inglaterra,60000,EUR,QA,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
10/03/2023 19:17:57,Empresa de producto,España,,35000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:17:50,Start Up,España,,17000,EUR,Front End,Trainee (0-1 años),Bootcamp,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:17:55,Empresa de producto,España,,42000,EUR,Front End,Junior (1-4 años),Bootcamp,Hombre,5,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:17:56,Consultora,España,,19000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:17:57,Empresa de producto,España,,40000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:17:58,Empresa de producto,España,,20400,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,Tengo que ir a la oficina de forma regular
9/03/2023 18:18:06,Empresa satélite,España,,25000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,1,Tengo que ir a la oficina de forma regular
9/03/2023 18:18:08,Empresa de producto,España,,42000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:18:14,Consultora,España,,21000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:18:17,Consultora,España,,27000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:18:19,Empresa de producto,España,,46000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,5,"Sí, 100% remoto"
9/03/2023 18:18:24,Consultora,España,,22000,EUR,Mobile,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:18:30,Consultora,España,,42800,EUR,Back End,Senior (+5 años),Formación reglada o universitaria,Hombre,4,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:18:35,Consultora,España,,38000,EUR,Front End,Junior (1-4 años),Autodidacta,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:18:44,Consultora,España,,24500,EUR,Back End,Junior (1-4 años),Formación reglada o universitaria,Hombre,4,Tengo que ir a la oficina de forma regular
9/03/2023 18:18:49,Agencia,España,,29000,EUR,Full Stack,Junior (1-4 años),Bootcamp,Hombre,1,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:18:59,Consultora,España,,24000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,4,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:19:33,Empresa de producto,España,,43000,EUR,Back End,Junior (1-4 años),Formación reglada o universitaria,Hombre,5,"Sí, 100% remoto"
9/03/2023 18:19:37,Consultora,España,,33000,EUR,Back End,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:19:37,Consultora,España,,28000,EUR,Base de datos,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:19:39,Consultora,España,Inglaterra o Alemania,32000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,4,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:19:39,Consultora,España,,55000,EUR,Blockchain + Full Stack,Senior (+5 años),Bootcamp ,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:19:39,Agencia,España,,55000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,5,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:19:47,Consultora,España,,33000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:19:48,Empresa de producto,España,,18000,EUR,Front End,Junior (1-4 años),Bootcamp,Mujer,3,Tengo que ir a la oficina de forma regular
9/03/2023 18:19:52,Empresa de producto,España,,45000,EUR,Swift,Junior (1-4 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:19:54,Consultora,España,,28000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,4,Tengo que ir a la oficina de forma regular
9/03/2023 18:20:02,Consultora,España,ServiZurich,38000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:20:12,Consultora,España,,32000,EUR,Desarrollo sobre ERP SAP Business One ,Senior (+5 años),Formación reglada o universitaria,Hombre,5,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:20:16,Empresa de producto,España,Oracle,48000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:20:16,Consultora,España,,24000,EUR,QA,Trainee (0-1 años),Bootcamp,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:20:20,Consultora,España,,40000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:20:23,Consultora,España,,18000,EUR,Data Analyst,Junior (1-4 años),Formación reglada o universitaria,Hombre,1,"Sí, 100% remoto"
9/03/2023 18:20:27,Agencia,España,,25000,EUR,Front End,Junior (1-4 años),Autodidacta,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:20:30,Empresa de producto,España,,65000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:20:38,Empresa de producto,España,,31000,EUR,Back End,Senior (+5 años),Formación reglada o universitaria,Hombre,1,"Sí, 100% remoto"
9/03/2023 18:20:45,Empresa de producto,España,,20000,EUR,Back End,Trainee (0-1 años),Formación reglada o universitaria,Hombre,4,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:20:49,Consultora,España,,20000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,1,"Sí, 100% remoto"
9/03/2023 18:20:50,Empresa de producto,España,,23184,EUR,Front End,Junior (1-4 años),Autodidacta,Hombre,2,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:20:52,Consultora,España,,23000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:20:52,Consultora,España,,24500,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:21:02,Consultora,España,,33000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:21:06,Start Up,España,,45000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,5,"Sí, 100% remoto"
9/03/2023 18:21:09,Consultora,España,,15000,EUR,Back End,Trainee (0-1 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:21:12,Empresa de producto,España,,50000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:21:12,Empresa de producto,España,,22000,EUR,QA tester,Trainee (0-1 años),Formación reglada o universitaria,Hombre,4,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:21:14,Empresa de producto,España,,37000,EUR,Analytics Engineer,Senior (+5 años),Bootcamp,Hombre,3,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:21:15,Consultora,España,,27000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:21:19,Empresa de producto,España,,40000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:21:25,Empresa de producto,España,,18000,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Hombre,1,"Sí, 100% remoto"
9/03/2023 18:21:30,Consultora,España,,18600,EUR,Back End,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:21:33,Empresa de producto,España,,22000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,2,Tengo que ir a la oficina de forma regular
9/03/2023 18:21:34,Consultora,España,,23000,EUR,Front End,Junior (1-4 años),Autodidacta,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:21:36,Consultora,España,,24000,EUR,Back End,Junior (1-4 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:21:48,Consultora,España,,23000,EUR,Back End / Mobile,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:21:48,Empresa de producto,España,Austria,46200,EUR,Full Stack,Senior (+5 años),Bootcamp,Hombre,2,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:21:49,Consultora,España,,25500,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:21:50,Empresa de producto,España,,32000,EUR,Testing,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:21:50,Consultora,España,,20000,EUR,Bpm,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:21:55,Consultora,España,,19000,EUR,Back End,Trainee (0-1 años),Formación reglada o universitaria,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:21:58,Consultora,España,,18500,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:22:06,Consultora,España,,22000,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:22:07,Consultora,España,,25000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:22:12,Empresa de producto,España,,36000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:22:42,Empresa de producto,España,,39000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:22:57,Consultora,España,,22000,EUR,Back End,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:22:57,Empresa de producto,España,,32500,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:23:03,Empresa de producto,España,,35000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:23:05,Empresa de producto,España,,23500,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:23:09,Consultora,España,,16000,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:23:21,Empresa de producto,España,,40000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Mujer,4,"Sí, 100% remoto"
9/03/2023 18:23:25,Empresa de producto,España,,40000,EUR,Front End,Senior (+5 años),Autodidacta,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:23:30,Consultora,España,,38000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:24:16,Start Up,España,,25000,EUR,Front End,Junior (1-4 años),Bootcamp,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:24:33,Consultora,España,,36000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:24:54,Empresa de producto,España,,35000,EUR,"Front end, back End, diseño, soporte.",Senior (+5 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:24:56,Consultora,España,,20000,EUR,Full Stack,Trainee (0-1 años),Bootcamp,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:25:17,Consultora,España,,40000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,5,Tengo que ir a la oficina de forma regular
9/03/2023 18:26:29,Aseguradora,España,Francia,70000,EUR,Team lead,Senior (+5 años),Formación reglada o universitaria,Hombre,4,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:27:12,Empresa de producto,España,,80000,EUR,Data Engineer,Senior (+5 años),Formación reglada o universitaria,Hombre,5,"Sí, 100% remoto"
9/03/2023 18:27:32,Practicas,España,,7200,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Mujer,1,"Sí, 100% remoto"
9/03/2023 18:28:50,Banca,España,,42000,EUR,Full Stack,Senior (+5 años),Autodidacta,Hombre,3,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:28:54,Consultora,España,,31000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,2,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:30:18,Empresa de producto,España,,27000,EUR,Front End,Junior (1-4 años),Autodidacta,Hombre,2,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:30:31,Consultora,España,,56000,EUR,Mobile,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:30:33,Freelance,España,,57000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:31:11,Empresa de producto,España,,38000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,2,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:31:56,Empresa de producto,España,,24000,EUR,Back End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:33:06,Consultora,España,,37000,EUR,Full Stack,Senior (+5 años),Autodidacta,Hombre,4,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:33:17,Consultora,España,,26000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,1,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:35:28,Empresa de producto,España,,52000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:35:29,Consultora,España,,23000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,1,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:36:32,Empresa de producto,España,,31000,EUR,QA Tester,Senior (+5 años),Autodidacta,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:36:34,Consultora,España,,24000,EUR,Back End,Junior (1-4 años),Autodidacta,Hombre,4,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:36:49,Consultora,España,,38000,EUR,Back End,Junior (1-4 años),Formación reglada o universitaria,Hombre,2,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:42:03,Empresa de producto,España,,30000,EUR,Full Stack,Junior (1-4 años),Autodidacta,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:43:19,Consultora,España,,24000,EUR,Front End,Junior (1-4 años),Bootcamp,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:45:47,Centro Tecnologico,España,,28000,EUR,Investigador de IA,Junior (1-4 años),Formación reglada o universitaria,Hombre,1,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:46:48,Consultora,España,,36000,EUR,Front End,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,Tengo que ir a la oficina de forma regular
9/03/2023 18:46:50,Empresa de producto,españa,,20700,EUR,Front End,Junior (1-4 años),Bootcamp,Mujer,3,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:47:00,Consultora,España,,18000,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 18:47:48,Empresa de producto,España,USA,46280,EUR,Back End,Senior (+5 años),Formación reglada o universitaria,Hombre,4,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:48:28,Empresa de producto,España,Reino Unido,77000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,4,Algún día tengo que ir a la oficina (1 día a la semana o menos)
9/03/2023 18:48:53,Consultora,España,,24000,EUR,Back End,Trainee (0-1 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 18:49:37,Empresa de producto,España,,34000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,2,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 18:54:48,Consultora,España,,75000,EUR,Tech lead,Senior (+5 años),Autodidacta,Hombre,4,"Sí, 100% remoto"
9/03/2023 18:55:52,Consultora,España,,18000,EUR,Full Stack,Trainee (0-1 años),Formación reglada o universitaria,Hombre,3,Modalidad híbrida (más de 1 día a la semana o más de 4 al mes)
9/03/2023 19:00:57,Empresa de producto,España,,70000,EUR,Full Stack,Senior (+5 años),Formación reglada o universitaria,Hombre,5,"Sí, 100% remoto"
9/03/2023 19:01:34,Consultora,España,,38000,EUR,Front End,Junior (1-4 años),Bootcamp,Hombre,2,"Sí, 100% remoto"
9/03/2023 19:07:32,Consultora,España,,47000,EUR,Back End,Senior (+5 años),Formación reglada o universitaria,Hombre,4,"Sí, 100% remoto"
9/03/2023 19:08:25,Consultora,España,,45000,EUR,Front End,Senior (+5 años),Formación reglada o universitaria,Hombre,2,"Sí, 100% remoto"
9/03/2023 19:08:44,Consultora,España,,25000,EUR,Full Stack,Junior (1-4 años),Formación reglada o universitaria,Hombre,3,"Sí, 100% remoto"
9/03/2023 19:09:01,Start Up,España,,25000,EUR,Front End,Trainee (0-1 años),Formación reglada o universitaria,Mujer,5,Algún día tengo que ir a la oficina (1 día a la semana o menos)
